window,threshold,sharpe_ratio,annual_return,max_drawdown,calmar_ratio
10,0.0,0.25,0.02,0.5789314866563736,0.03
10,0.25,0.26,0.02,0.46773373786257944,0.04
10,0.5,0.3,0.02,0.5673477959880597,0.04
10,0.75,0.31,0.02,0.5082181561488407,0.04
10,1.0,0.38,0.02,0.3585755340203596,0.06
10,1.25,0.44,0.02,0.2832875877465336,0.07
10,1.5,0.38,0.02,0.267740840280148,0.07
10,1.75,0.43,0.02,0.17874122985926055,0.11
10,2.0,0.33,0.01,0.19752823026772126,0.05
10,2.25,0.26,0.01,0.1557868553816929,0.06
20,0.0,0.37,0.03,0.416969367072469,0.07
20,0.25,0.35,0.03,0.3964586618439099,0.08
20,0.5,0.36,0.03,0.3385423879342453,0.09
20,0.75,0.39,0.03,0.31356355086011667,0.1
20,1.0,0.36,0.02,0.2896368981925721,0.07
20,1.25,0.46,0.03,0.17097173342865446,0.18
20,1.5,0.41,0.02,0.18170851043982894,0.11
20,1.75,0.38,0.02,0.1372258536612314,0.15
20,2.0,0.44,0.02,0.11752409068230174,0.17
20,2.25,0.45,0.01,0.08007957782727204,0.12
30,0.0,0.29,0.02,0.5270683181624831,0.04
30,0.25,0.29,0.02,0.3938600066433604,0.05
30,0.5,0.36,0.03,0.36806653462688765,0.08
30,0.75,0.31,0.02,0.3484527559848589,0.06
30,1.0,0.36,0.02,0.30118486948109724,0.07
30,1.25,0.3,0.02,0.3119884159296722,0.06
30,1.5,0.42,0.02,0.16437377483208448,0.12
30,1.75,0.42,0.02,0.150366014176605,0.13
30,2.0,0.42,0.01,0.16671744609479533,0.06
30,2.25,0.42,0.01,0.08399438780227153,0.12
40,0.0,0.32,0.03,0.5572116844256088,0.05
40,0.25,0.28,0.02,0.46029713677673234,0.04
40,0.5,0.26,0.02,0.39712301335959865,0.05
40,0.75,0.33,0.02,0.3276648516500802,0.06
40,1.0,0.29,0.02,0.30857834841193565,0.06
40,1.25,0.41,0.02,0.21965178016740805,0.09
40,1.5,0.44,0.02,0.21074434327847635,0.09
40,1.75,0.43,0.02,0.14061817057660475,0.14
40,2.0,0.5,0.02,0.12269298857569333,0.16
40,2.25,0.35,0.01,0.11837240635552537,0.08
50,0.0,0.34,0.03,0.5058021469923326,0.06
50,0.25,0.36,0.03,0.3424398993032298,0.09
50,0.5,0.33,0.02,0.372478926965752,0.05
50,0.75,0.29,0.02,0.35562451639996584,0.06
50,1.0,0.35,0.02,0.3030588945757109,0.07
50,1.25,0.37,0.02,0.287989372709484,0.07
50,1.5,0.42,0.02,0.21481907950759083,0.09
50,1.75,0.38,0.02,0.16508653359474512,0.12
50,2.0,0.51,0.02,0.13137070041791943,0.15
50,2.25,0.44,0.01,0.11810470477903257,0.08
60,0.0,0.36,0.03,0.44425120439217514,0.07
60,0.25,0.35,0.03,0.38733807386962305,0.08
60,0.5,0.36,0.03,0.3333648493126855,0.09
60,0.75,0.28,0.02,0.3365803348041674,0.06
60,1.0,0.34,0.02,0.31509811014014844,0.06
60,1.25,0.41,0.02,0.2789433630132656,0.07
60,1.5,0.41,0.02,0.2283524446746542,0.09
60,1.75,0.45,0.02,0.1873662548037187,0.11
60,2.0,0.49,0.02,0.11892453585833551,0.17
60,2.25,0.49,0.02,0.12815820082874918,0.16
70,0.0,0.36,0.03,0.4736920320347977,0.06
70,0.25,0.35,0.03,0.3577572951170196,0.08
70,0.5,0.33,0.02,0.31554709456419894,0.06
70,0.75,0.3,0.02,0.3453172299219698,0.06
70,1.0,0.29,0.02,0.34860076317724364,0.06
70,1.25,0.35,0.02,0.273183704679689,0.07
70,1.5,0.46,0.02,0.21088318398804318,0.09
70,1.75,0.41,0.02,0.1653227109981532,0.12
70,2.0,0.45,0.02,0.13750439129835157,0.15
70,2.25,0.48,0.02,0.13289774759512651,0.15
80,0.0,0.34,0.03,0.4363552436853446,0.07
80,0.25,0.34,0.03,0.5302344981823679,0.06
80,0.5,0.31,0.02,0.40427439874153914,0.05
80,0.75,0.35,0.02,0.2798865312244281,0.07
80,1.0,0.29,0.02,0.2738991219392839,0.07
80,1.25,0.32,0.02,0.2776875066856117,0.07
80,1.5,0.44,0.02,0.2215065611699698,0.09
80,1.75,0.48,0.02,0.1507519783580995,0.13
80,2.0,0.43,0.02,0.12815205788812944,0.16
80,2.25,0.47,0.02,0.11677755349387187,0.17
90,0.0,0.35,0.03,0.41462369767435625,0.07
90,0.25,0.33,0.03,0.4292830954942277,0.07
90,0.5,0.37,0.03,0.35989985362473287,0.08
90,0.75,0.36,0.03,0.3113680455743022,0.1
90,1.0,0.26,0.02,0.3048161017258745,0.07
90,1.25,0.26,0.02,0.23918362521938064,0.08
90,1.5,0.41,0.02,0.2542587919781376,0.08
90,1.75,0.43,0.02,0.15220883514222616,0.13
90,2.0,0.45,0.02,0.11241606250631242,0.18
90,2.25,0.46,0.02,0.14200389475657527,0.14
